TransactionID,CustomerID,TransactionDate,ProductID,Quantity,UnitPrice,TotalPrice,,,,
TRX50000_0,CUST1302,1/12/2022,Prod_107,3,53.74,161.22,,,,
TRX50000_1,CUST1302,1/12/2022,Prod_104,2,43.15,86.3,,,,Prod_107
TRX50000_2,CUST1302,1/12/2022,Prod_107,1,59.8,59.8,,,,Prod_104
TRX50001_0,CUST1267,10/17/2023,Prod_108,1,214.31,214.31,,,,Prod_108
TRX50001_1,CUST1267,10/17/2023,Prod_109,3,312.02,936.06,,,,Prod_109
TRX50001_2,CUST1267,10/17/2023,Prod_106,2,51.36,102.72,,,,Prod_106
TRX50002_0,CUST1006,5/17/2022,Prod_115,2,151.57,303.14,,,,Prod_115
TRX50002_1,CUST1006,5/17/2022,Prod_117,3,292.25,876.75,,,,Prod_117
TRX50002_2,CUST1006,5/17/2022,Prod_106,3,118.77,356.31,,,,Prod_113
TRX50003_0,CUST1489,9/7/2023,Prod_113,3,82.71,248.13,,,,Prod_101
TRX50004_0,CUST1107,7/7/2022,Prod_101,3,206.77,620.31,,,,Prod_111
TRX50004_1,CUST1107,7/7/2022,Prod_107,2,214.64,429.28,,,,Prod_116
TRX50004_2,CUST1107,7/7/2022,Prod_111,3,101.58,304.74,,,,Prod_112
TRX50004_3,CUST1107,7/7/2022,Prod_116,1,197.21,197.21,,,,Prod_102
TRX50004_4,CUST1107,7/7/2022,Prod_112,2,158.15,316.3,,,,Prod_100
TRX50005_0,CUST1492,3/2/2023,Prod_101,3,145.05,435.15,,,,Prod_114
TRX50005_1,CUST1492,3/2/2023,Prod_101,2,14.9,29.8,,,,Prod_110
TRX50005_2,CUST1492,3/2/2023,Prod_112,1,123.07,123.07,,,,Prod_103
TRX50005_3,CUST1492,3/2/2023,Prod_102,3,296.13,888.39,,,,Prod_118
TRX50006_0,CUST1499,1/29/2022,Prod_111,1,229.31,229.31,,,,Prod_105
TRX50007_0,CUST1235,8/27/2022,Prod_109,2,11,22,,,,Prod_119
TRX50008_0,CUST1358,12/6/2022,Prod_100,2,17.85,35.7,,,,
TRX50008_1,CUST1358,12/6/2022,Prod_112,2,111.48,222.96,,,,
TRX50008_2,CUST1358,12/6/2022,Prod_117,2,91.27,182.54,,,,
TRX50008_3,CUST1358,12/6/2022,Prod_115,1,307.05,307.05,,,,
TRX50008_4,CUST1358,12/6/2022,Prod_114,1,51.69,51.69,,,,
TRX50009_0,CUST1376,12/10/2022,Prod_111,3,246.24,738.72,,,,
TRX50009_1,CUST1376,12/10/2022,Prod_104,3,157.48,472.44,,,,
TRX50009_2,CUST1376,12/10/2022,Prod_106,3,244.96,734.88,,,,
TRX50009_3,CUST1376,12/10/2022,Prod_110,2,163.58,327.16,,,,
TRX50010_0,CUST1152,12/12/2023,Prod_103,3,127.69,383.07,,,,
TRX50010_1,CUST1152,12/12/2023,Prod_118,1,48.63,48.63,,,,
TRX50010_2,CUST1152,12/12/2023,Prod_110,2,122.77,245.54,,,,
TRX50010_3,CUST1152,12/12/2023,Prod_108,1,283.9,283.9,,,,
TRX50011_0,CUST1375,6/1/2023,Prod_114,3,57.31,171.93,,,,
TRX50011_1,CUST1375,6/1/2023,Prod_102,2,35.35,70.7,,,,
TRX50011_2,CUST1375,6/1/2023,Prod_109,3,49.63,148.89,,,,
TRX50011_3,CUST1375,6/1/2023,Prod_116,3,53.15,159.45,,,,
TRX50011_4,CUST1375,6/1/2023,Prod_105,1,16.92,16.92,,,,
TRX50012_0,CUST1494,3/30/2022,Prod_103,2,98.53,197.06,,,,
TRX50013_0,CUST1266,9/9/2023,Prod_108,3,381.92,1145.76,,,,
